pdb_id	receptor_name	chain_id	fusion_names	topology	topology_confidence	extra_polymer_descriptions	extra_ok_ligand_permissive	extra_policy_reason	evidence	topology_source	override_rationale
5WF6	aa2ar_human	A	t4l	internal	1.0		True	none	segments=[(33, 239, 'receptor', 'aa2ar_human p29274 p29274'), (240, 399, 'fusion', 'enlys_bpt4 p00720 p00720'), (400, 494, 'receptor', 'aa2ar_human p29274 p29274')]; chain_length=504; description=Human A2a adenosine receptor T4L chimera	automatic_mmcif	
5XR8	cnr1_human	A	flavodoxin	internal	0.95		True	none	segments=[(1, 208, 'receptor', 'cnr1_human p21554 p21554'), (210, 355, 'other', 'flav_desvh p00323 p00323'), (356, 438, 'receptor', 'cnr1_human p21554 p21554')]; chain_length=438; description=Cannabinoid receptor 1,Flavodoxin,Cannabinoid receptor 1; inferred_from_nonreceptor_span=internal	automatic_mmcif	
5XRA	cnr1_human	A	flavodoxin	internal	0.95		True	none	segments=[(1, 208, 'receptor', 'cnr1_human p21554 p21554'), (210, 355, 'other', 'flav_desvh p00323 p00323'), (356, 438, 'receptor', 'cnr1_human p21554 p21554')]; chain_length=438; description=Cannabinoid receptor 1,Flavodoxin,Cannabinoid receptor 1; inferred_from_nonreceptor_span=internal	automatic_mmcif	
5ZKQ	ptafr_human	A	endolysin	internal	1.0		True	none	segments=[(4, 220, 'receptor', 'ptafr_human p25105 p25105'), (221, 230, 'fusion', 'enlys_bpt4 p00720 p00720'), (237, 337, 'fusion', 'enlys_bpt4 p00720 p00720'), (338, 430, 'receptor', 'ptafr_human p25105 p25105')]; chain_length=438; description=Platelet-activating factor receptor,Endolysin,Endolysin,Platelet-activating factor receptor	automatic_mmcif	
6AK3	pe2r3_human	B	b562	C_terminal	1.0		True	none	segments=[(5, 321, 'receptor', 'pe2r3_human p43115 p43115'), (330, 369, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (375, 417, 'fusion', 'c562_ecolx p0abe7 p0abe7')]; chain_length=418; description=Prostaglandin E2 receptor EP3 subtype,Soluble cytochrome b562	automatic_mmcif	
6B73	oprk_human	B	b562	N_terminal	1.0	Nanobody	False	excluded_auxiliary_or_transducer	segments=[(6, 111, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (114, 418, 'receptor', 'oprk_human p41145 p41145')]; chain_length=418; description=Soluble cytochrome b562, kappa-type opioid receptor	automatic_mmcif	
6BQG	5ht2c_human	A	b562	internal	1.0		True	none	segments=[(27, 232, 'receptor', '5ht2c_human p28335 p28335'), (233, 338, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (339, 431, 'receptor', '5ht2c_human p28335 p28335')]; chain_length=452; description=5-hydroxytryptamine receptor 2C,Soluble cytochrome b562	automatic_mmcif	
6DO1	agtr1_human	A	b562;bril	internal	1.0	Nanobody Nb.AT110i1 | Angiotensin-like peptide S1I8	False	excluded_auxiliary_or_transducer	segments=[(9, 233, 'receptor', 'agtr1_human p30556 p30556'), (234, 332, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (333, 425, 'receptor', 'agtr1_human p30556 p30556')]; chain_length=425; description=Type-1 angiotensin II receptor,Soluble cytochrome b562 BRIL fusion protein	automatic_mmcif	
6H7J	adrb1_melga	A		exclude	1.0		True	none	segments=[(6, 302, 'receptor', 'adrb1_melga p07700 p07700')]; chain_length=307; description=Thioredoxin 1 | Beta-1 adrenergic receptor	manual_override	Manual review: beta1-adrenoceptor is not a terminal receptor fusion; thioredoxin/Nb80-related components are separate polymer entities.
6H7L	adrb1_melga	A		exclude	1.0		True	none	segments=[(6, 302, 'receptor', 'adrb1_melga p07700 p07700')]; chain_length=307; description=Thioredoxin 1 | Beta-1 adrenergic receptor	manual_override	Manual review: same beta1-adrenoceptor structural series; no eligible terminal receptor fusion.
6H7M	adrb1_melga	A		exclude	1.0		True	none	segments=[(6, 302, 'receptor', 'adrb1_melga p07700 p07700')]; chain_length=307; description=Thioredoxin 1 | Beta-1 adrenergic receptor	manual_override	Manual review: same beta1-adrenoceptor structural series; no eligible terminal receptor fusion.
6H7N	adrb1_melga	A		exclude	1.0		True	none	segments=[(6, 302, 'receptor', 'adrb1_melga p07700 p07700')]; chain_length=307; description=Thioredoxin 1 | Beta-1 adrenergic receptor	manual_override	Manual review: same beta1-adrenoceptor structural series; no eligible terminal receptor fusion.
6H7O	adrb1_melga	A		exclude	1.0		True	none	segments=[(6, 302, 'receptor', 'adrb1_melga p07700 p07700')]; chain_length=307; description=Thioredoxin 1 | Beta-1 adrenergic receptor	manual_override	Manual review: same beta1-adrenoceptor structural series; no eligible terminal receptor fusion.
6K41	ada2b_human	R	endolysin	N_terminal	0.9	Guanine nucleotide-binding protein G(o) subunit alpha | Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 | Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 | scFv	False	excluded_auxiliary_or_transducer	segments=[(12, 38, 'other', 'ada2a_bovin q28838 q28838'), (46, 205, 'other', 'a0a097j809_bpt4 a0a097j809 a0a097j809'), (206, 416, 'receptor', 'ada2b_human p18089 p18089'), (417, 512, 'receptor', 'ada2b_human p18089 p18089')]; chain_length=512; description=Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor; inferred_from_nonreceptor_span=N_terminal	automatic_mmcif	
6LW5	fpr2_human	A	b562	N_terminal	1.0	TRP-LYS-TYR-MET-VAL-QXV	True	extracellular_polymer_ligand_permitted_only_in_ligand_permissive_variant	segments=[(2, 107, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (108, 427, 'receptor', 'fpr2_human p25090 p25090')]; chain_length=427; description=Soluble cytochrome b562,N-formyl peptide receptor 2	automatic_mmcif	
6M9T	pe2r3_human	A	endolysin	internal	1.0		True	none	segments=[(14, 271, 'receptor', 'pe2r3_human p43115 p43115'), (274, 433, 'fusion', 'enlys_bpt4 p00720 p00720'), (436, 516, 'receptor', 'pe2r3_human p43115 p43115')]; chain_length=537; description=Prostaglandin E2 receptor EP3 subtype, Endolysin chimera	automatic_mmcif	
6MXT	adrb2_human	A	endolysin	N_terminal	1.0	nanobody Nb71	False	excluded_auxiliary_or_transducer	segments=[(2, 161, 'fusion', 'd9ief7_bpt4 d9ief7 d9ief7'), (164, 369, 'receptor', 'adrb2_human p07550 p07550'), (370, 472, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=472; description=Endolysin, Beta-2 adrenergic receptor chimera	automatic_mmcif	
6N48	adrb2_human	A	endolysin	N_terminal	0.9	Camelid Antibody Fragment	False	excluded_auxiliary_or_transducer	segments=[(16, 175, 'other', 'a0a097j809_bpt4 a0a097j809 a0a097j809'), (178, 383, 'receptor', 'adrb2_human p07550 p07550'), (384, 469, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=469; description=Endolysin,Beta-2 adrenergic receptor,Beta-2 adrenergic receptor chimera; inferred_from_nonreceptor_span=N_terminal	automatic_mmcif	
6OS0	agtr1_human	A	b562;bril	internal	1.0	Nanobody Nb.AT110i1 | Angiotensinogen	False	excluded_auxiliary_or_transducer	segments=[(9, 233, 'receptor', 'agtr1_human p30556 p30556'), (234, 332, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (333, 425, 'receptor', 'agtr1_human p30556 p30556')]; chain_length=425; description=Type-1 angiotensin II receptor,Soluble cytochrome b562 BRIL fusion protein	automatic_mmcif	
6OS1	agtr1_human	A	b562;bril	internal	1.0	Nanobody Nb.AT110i1_le | TRV023 peptide	False	excluded_auxiliary_or_transducer	segments=[(9, 233, 'receptor', 'agtr1_human p30556 p30556'), (234, 332, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (333, 425, 'receptor', 'agtr1_human p30556 p30556')]; chain_length=425; description=Type-1 angiotensin II receptor,Soluble cytochrome b562 BRIL fusion protein	automatic_mmcif	
6OS2	agtr1_human	A	b562;bril	internal	1.0	Nanobody Nb.AT110i1_le | TRV026 peptide	False	excluded_auxiliary_or_transducer	segments=[(9, 233, 'receptor', 'agtr1_human p30556 p30556'), (234, 332, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (333, 425, 'receptor', 'agtr1_human p30556 p30556')]; chain_length=425; description=Type-1 angiotensin II receptor,Soluble cytochrome b562 BRIL fusion protein	automatic_mmcif	
7EZC	aa2ar_human	B	b562	internal	1.0		True	none	segments=[(11, 217, 'receptor', 'aa2ar_human p29274 p29274'), (218, 318, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (324, 413, 'receptor', 'aa2ar_human p29274 p29274')]; chain_length=431; description=Adenosine receptor A2a,Soluble cytochrome b562	automatic_mmcif	
7PP1	p2y12_human	AAA	b562	internal	1.0		True	none	segments=[(11, 232, 'receptor', 'p2y12_human q9h244 q9h244'), (233, 338, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (339, 457, 'receptor', 'p2y12_human q9h244 q9h244')]; chain_length=466; description=P2Y purinoceptor 12,Soluble cytochrome b562,P2Y purinoceptor 12	automatic_mmcif	
7TUY	gp183_human	R	b562;bril	internal	0.95	anti-BRIL Fab Heavy chain | anti-Fab Nanobody | anti-BRIL Fab Light chain	False	excluded_auxiliary_or_transducer	segments=[(1, 225, 'receptor', 'gp183_human p32249 p32249'), (226, 343, 'other', '7tuy 7tuy 7tuy'), (344, 469, 'receptor', 'gp183_human p32249 p32249')]; chain_length=477; description=G-protein coupled receptor 183,Soluble cytochrome b562 fusion; inferred_from_nonreceptor_span=internal	automatic_mmcif	
7V3Z	cnr1_human	A	flavodoxin	internal	0.95		True	none	segments=[(4, 208, 'receptor', 'cnr1_human p21554 p21554'), (210, 355, 'other', 'flav_desvh p00323 p00323'), (360, 438, 'receptor', 'cnr1_human p21554 p21554')]; chain_length=438; description=fusion protein of Cannabinoid receptor 1 and Flavodoxin; inferred_from_nonreceptor_span=internal	automatic_mmcif	
7XK9	adrb2_human	A	endolysin	N_terminal	1.0	Camelid Antibody Fragment	False	excluded_auxiliary_or_transducer	segments=[(16, 175, 'fusion', 'enlys_bpt4 p00720 p00720'), (178, 384, 'receptor', 'adrb2_human p07550 p07550'), (385, 469, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=469; description=Endolysin,Beta-2 adrenergic receptor	automatic_mmcif	
7XKA	adrb2_human	A	endolysin	N_terminal	1.0	Camelid Antibody Fragment	False	excluded_auxiliary_or_transducer	segments=[(16, 175, 'fusion', 'enlys_bpt4 p00720 p00720'), (178, 384, 'receptor', 'adrb2_human p07550 p07550'), (385, 469, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=469; description=Endolysin,Beta-2 adrenergic receptor	automatic_mmcif	
7YIT	oprk_human	A	b562	exclude	1.0	Nanobody39 | Soluble cytochrome b562	False	excluded_auxiliary_or_transducer	segments=[(1, 305, 'receptor', 'oprk_human p41145 p41145')]; chain_length=305; description=Kappa-type opioid receptor	manual_override	Manual review: KOR, Nanobody39 and soluble cytochrome b562 are separate polymer entities; no eligible terminal receptor fusion.
7ZL9	hcar2_human	A	b562	C_terminal	1.0		True	none	segments=[(1, 325, 'receptor', 'hcar2_human q8tds4 q8tds4'), (326, 431, 'fusion', 'c562_ecolx p0abe7 p0abe7')]; chain_length=431; description=Hydroxycarboxylic acid receptor 2,Soluble cytochrome b562	automatic_mmcif	
7ZLY	hcar2_human	A	b562	internal	1.0		True	none	segments=[(1, 219, 'receptor', 'hcar2_human q8tds4 q8tds4'), (220, 324, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (326, 431, 'receptor', 'hcar2_human q8tds4 q8tds4')]; chain_length=431; description=Hydroxycarboxylic acid receptor 2,Soluble cytochrome b562	automatic_mmcif	
8HNL	cxcr3_human	R	b562	N_terminal	1.0	Guanine nucleotide-binding protein G(i) subunit alpha-1 | Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 | Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 | single-chain variable fragment scFv16	False	excluded_auxiliary_or_transducer	segments=[(27, 131, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (139, 499, 'receptor', 'cxcr3_human p49682 p49682'), (500, 657, 'other', 'luci_oplgr q9gv45 q9gv45')]; chain_length=657; description=Soluble cytochrome b562,C-X-C chemokine receptor type 3,Oplophorus-luciferin 2-monooxygenase catalytic subunit	automatic_mmcif	
8HS2	gpr20_human	R	b562	N_terminal	1.0	heavy chain of Fab046 | Light chain of Fab046	False	excluded_auxiliary_or_transducer	segments=[(35, 132, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (134, 449, 'receptor', 'gpr20_human q99678 q99678')]; chain_length=459; description=Soluble cytochrome b562,G-protein coupled receptor 20	automatic_mmcif	
8IHK	hcar3_human	R	b562	N_terminal	1.0		True	none	segments=[(25, 129, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (131, 516, 'receptor', 'hcar3_human p49019 p49019')]; chain_length=530; description=Soluble cytochrome b562,Hydroxycarboxylic acid receptor 3	automatic_mmcif	
8JJ8	adrb2_human	F	b562;bril	internal	1.0		True	none	segments=[(25, 226, 'receptor', 'adrb2_human p07550 p07550'), (227, 325, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (326, 403, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=453; description=Beta-2 adrenergic receptor,Soluble cytochrome b562	automatic_mmcif	
8K9K	oprm_human	R	b562	N_terminal	1.0	DAMGO | G protein subunit alpha i3 | Guanine nucleotide binding protein, beta polypeptide 1 | Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 | scFv16	False	excluded_auxiliary_or_transducer	segments=[(23, 128, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (139, 437, 'receptor', 'oprm_human p35372 p35372')]; chain_length=453; description=Soluble cytochrome b562,Mu-type opioid receptor	automatic_mmcif	
8K9L	oprm_human	R	b562	N_terminal	0.9	DAMGO | G protein subunit alpha i3 | Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 | Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 | scFv16	False	excluded_auxiliary_or_transducer	segments=[(1, 128, 'other', '8k9l 8k9l 8k9l'), (139, 437, 'receptor', 'oprm_human p35372 p35372')]; chain_length=453; description=Soluble cytochrome b562,Mu-type opioid receptor,Mu-type opioid receptor; inferred_from_nonreceptor_span=N_terminal	automatic_mmcif	
8KEX	mrgx4_human	E	b562	N_terminal	1.0		True	none	segments=[(11, 116, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (117, 438, 'receptor', 'mrgx4_human q96la9 q96la9'), (449, 682, 'other', 'gfp_aeqvi p42212 p42212')]; chain_length=710; description=Soluble cytochrome b562,Mas-related G-protein coupled receptor member X4,Green fluorescent protein	automatic_mmcif	
8TB7	gpr61_human	R	b562	internal	1.0	Fab24 BAK5 heavy chain | Fab hinge-binding nanobody | Fab24 BAK5 light chain	False	excluded_auxiliary_or_transducer	segments=[(11, 242, 'receptor', 'gpr61_human q9bzj8 q9bzj8'), (248, 352, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (365, 532, 'receptor', 'gpr61_human q9bzj8 q9bzj8')]; chain_length=543; description=G-protein coupled receptor 61,Soluble cytochrome b562	automatic_mmcif	
8TF5	gpr6_human	A	b562	internal	1.0		True	none	segments=[(17, 225, 'receptor', 'gpr6_human p46095 p46095'), (226, 331, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (333, 425, 'receptor', 'gpr6_human p46095 p46095')]; chain_length=436; description=G-protein coupled receptor 6,Soluble cytochrome b562 chimera,Soluble cytochrome b562,G-protein coupled receptor 6	automatic_mmcif	
8UGW	aa2ar_human	A	endolysin	N_terminal	1.0		True	none	segments=[(27, 131, 'fusion', 'enlys_bpt4 p00720 p00720'), (152, 472, 'receptor', 'aa2ar_human p29274 p29274')]; chain_length=472; description=Endolysin,Adenosine receptor A2a	automatic_mmcif	
