pdb_id	chain_id	receptor_name	transducer_family	publication_reference	label_target	label_provenance_category	homology_propagation_risk	provenance_note
7JVP	R	drd1_human	Gs	https://dx.doi.org/10.1016/J.CELL.2021.01.027	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7JVR	R	drd2_human	Gi/o	https://dx.doi.org/10.1016/J.CELL.2021.01.027	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7CMV	R	drd3_human	Gi/o	https://dx.doi.org/10.1016/J.MOLCEL.2021.01.003	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IRU	R	drd4_human	Gi/o	https://dx.doi.org/10.1038/S41422-023-00808-0	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IRV	R	drd5_human	Gs	https://dx.doi.org/10.1038/S41422-023-00808-0	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8ZFJ	R	e7fel0_danre	Gs		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HCQ	R	ednra_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XVI	R	ednra_human	Gs	https://dx.doi.org/10.1038/S41421-024-00705-9	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IY5	R	ednrb_human	Gi/o	https://dx.doi.org/10.7554/ELIFE.85821	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HCX	C	ednrb_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XVE	R	ednrb_human	Gs	https://dx.doi.org/10.1038/S41421-024-00705-9	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
9K1C	R	ffar1_human	Gi/o	https://dx.doi.org/10.1016/J.CELREP.2024.115024	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8EJK	R	ffar1_human	Gq/11	https://dx.doi.org/10.1073/PNAS.2219569120	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8J22	C	ffar2_human	Gi/o	https://dx.doi.org/10.1038/S41422-023-00914-Z	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8T3S	R	ffar2_human	Gq/11	https://dx.doi.org/10.1126/SCIADV.ADJ2384	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8J20	D	ffar3_human	Gi/o	https://dx.doi.org/10.1038/S41422-023-00914-Z	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8ID6	R	ffar4_human	Gi/o	https://dx.doi.org/10.1126/SCIENCE.ADD6220	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8T3O	R	ffar4_human	Gq/11	https://dx.doi.org/10.1126/SCIADV.ADJ2384	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8H4I	R	ffar4_human	Gs	https://dx.doi.org/10.1038/S41422-023-00835-X	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7VFX	R	fpr1_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-32822-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7T6U	R	fpr2_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-28586-0	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8I2G	R	fshr_human	Gs	https://dx.doi.org/10.1038/S41467-023-36170-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7WQ3	R	galr1_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-29072-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7WQ4	R	galr2_human	Gq/11	https://dx.doi.org/10.1038/S41467-022-29072-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7F8V	R	gasr_human	Gi/o	https://dx.doi.org/10.1038/S41589-021-00866-8	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7F8W	R	gasr_human	Gq/11	https://dx.doi.org/10.1038/S41589-021-00866-8	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7NA7	R	ghsr_human	Gi/o	https://dx.doi.org/10.1038/S41467-021-26735-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7F9Z	R	ghsr_human	Gq/11	https://dx.doi.org/10.1038/S41467-021-25364-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8W8Q	C	gp101_human	Gs	https://dx.doi.org/10.1038/S41589-023-01456-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7WCM	R	gp119_human	Gs	https://dx.doi.org/10.1038/S41467-022-34696-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HQM	R	gp132_human	Gi/o	https://dx.doi.org/10.1038/S42255-023-00899-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7VUG	R	gp139_human	Gi/o	https://dx.doi.org/10.1038/S41422-021-00591-W	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7VUH	R	gp139_human	Gs		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8SMV	R	gp161_human	Gs	https://dx.doi.org/10.1101/2023.05.23.540554	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XV3	R	gp174_human	Gs	https://dx.doi.org/10.1038/S41467-023-36575-0	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7TUZ	R	gp183_human	Gi/o	https://dx.doi.org/10.1016/J.STR.2022.04.006	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7CFM	R	gpbar_human	Gs	https://dx.doi.org/10.1038/S41586-020-2569-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XOF	R	gper1_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7Y3G	R	gpr12_human	Gs	https://dx.doi.org/10.1016/J.SCIB.2022.12.023	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8ZQE	R	gpr15_human	Gi/o	https://dx.doi.org/10.1038/S41421-024-00698-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7Y89	A	gpr17_human	Gi/o	https://dx.doi.org/10.1002/MCO2.159	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HS3	R	gpr20_human	Gi/o	https://dx.doi.org/10.1038/S41421-023-00520-8	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HMV	A	gpr21_human	Gs	https://dx.doi.org/10.1002/MCO2.205	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XBH	R	gpr34_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8WW2	R	gpr3_human	Gs	https://dx.doi.org/10.1038/S41422-024-00932-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HMP	R	gpr52_human	Gs	https://dx.doi.org/10.1002/MCO2.260	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8KGK	A	gpr61_human	Gs	https://dx.doi.org/10.1038/S41467-023-41654-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8TYW	A	gpr6_human	Gs	https://dx.doi.org/10.1126/SCISIGNAL.ADO8741	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8G05	R	gpr84_human	Gi/o	https://dx.doi.org/10.1038/S41467-023-41201-0	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7EJX	R	gpr88_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-30081-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7W3Z	A	grpr_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8J6J	R	hcar2_human	Gi/o	https://dx.doi.org/10.1016/J.CELREP.2023.113406	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JEI	A	hcar3_human	Gi/o	https://dx.doi.org/10.1016/J.CELREP.2024.114895	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8YN2	R	hrh1_human	Gq/11	https://dx.doi.org/10.1038/S41467-024-52585-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8YN4	R	hrh2_human	Gq/11	https://dx.doi.org/10.1038/S41467-024-52585-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8YN3	R	hrh2_human	Gs	https://dx.doi.org/10.1038/S41467-024-52585-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8YN5	R	hrh3_human	Gi/o	https://dx.doi.org/10.1038/S41467-024-52585-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JXW	R	hrh4_human	Gi/o	https://dx.doi.org/10.1038/S41467-024-46840-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7YFC	R	hrh4_human	Gq/11	https://dx.doi.org/10.1038/S41467-023-42260-Z	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XGU	A	kissr_human	Gi/o	https://dx.doi.org/10.1126/SCIADV.ADN7771	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XGO	A	kissr_human	Gq/11	https://dx.doi.org/10.1126/SCIADV.ADN7771	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7TD0	R	lpar1_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-28417-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
9IZG	R	lpar1_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7FIH	R	lshr_human	Gs	https://dx.doi.org/10.1038/S41586-021-03924-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7VKT	A	lt4r1_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-28820-9	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IOC	R	mc3r_human	Gs	https://dx.doi.org/10.1107/S0907444909042073	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7PIU	R	mc4r_human	Gs	https://dx.doi.org/10.1038/S41422-021-00569-8	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IOD	R	mc5r_human	Gs	https://dx.doi.org/10.1107/S0907444909042073	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8WWK	R	mchr1_human	Gi/o	https://dx.doi.org/10.1038/S41421-024-00754-0	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8WST	R	mchr2_human	Gq/11	https://dx.doi.org/10.1038/S41421-024-00679-8	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7Y15	R	mrgrd_human	Gi/o	https://dx.doi.org/10.1038/S42003-022-03668-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
9DQJ	A	mrgrd_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JGB	R	mrgx1_human	Gi/o	https://dx.doi.org/10.1038/S41467-023-40705-Z	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JGF	R	mrgx1_human	Gq/11	https://dx.doi.org/10.1038/S41467-023-40705-Z	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7VV5	R	mrgx2_human	Gi/o	https://dx.doi.org/10.1038/S41586-021-04077-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7S8L	R	mrgx2_human	Gq/11	https://dx.doi.org/10.1038/S41586-021-04126-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7S8P	R	mrgx4_human	Gq/11	https://dx.doi.org/10.1038/S41586-021-04126-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7F4H	R	mshr_human	Gs	https://dx.doi.org/10.1038/S41422-021-00557-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IBV	R	mtlr_human	Gq/11	https://dx.doi.org/10.1126/SCIADV.ADE9020	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7DB6	D	mtr1a_human	Gi/o	https://dx.doi.org/10.1038/S41594-021-00634-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7VH0	A	mtr1b_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-28111-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7P00	R	nk1r_human	Gq/11	https://dx.doi.org/10.1126/SCIADV.ABK2872	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8U26	R	nk1r_human	Gs	https://dx.doi.org/10.1038/S41592-023-02082-9	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XWO	B	nk2r_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JBG	B	nk3r_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8H0P	R	nmbr_human	Gq/11	https://dx.doi.org/10.1038/S41422-022-00743-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7W56	R	nmur1_human	Gq/11	https://dx.doi.org/10.1038/S41467-022-29683-W	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XK8	R	nmur2_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-34814-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7W55	R	nmur2_human	Gq/11	https://dx.doi.org/10.1038/S41467-022-29683-W	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7X9A	R	npy1r_human	Gi/o	https://dx.doi.org/10.1126/SCIADV.ABM1232	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7YON	R	npy2r_human	Gi/o	https://dx.doi.org/10.1016/J.STR.2022.11.010	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7X9C	R	npy4r_human	Gi/o	https://dx.doi.org/10.1126/SCIADV.ABM1232	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
6OS9	R	ntr1_human	Gi/o	https://dx.doi.org/10.1038/S41586-019-1337-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JPB	R	ntr1_human	Gq/11	https://dx.doi.org/10.1038/S41586-023-06395-9	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7L0P	C	ntr1_rat	Gi/o	https://dx.doi.org/10.1038/S41594-020-00554-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8FMZ	A	ntr1_rat	Gq/11	https://dx.doi.org/10.1021/ACS.BIOCHEM.3C00029	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8F7S	R	oprd_human	Gi/o	https://dx.doi.org/10.1016/J.CELL.2022.12.026	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8F7W	R	oprk_human	Gi/o	https://dx.doi.org/10.1016/J.CELL.2022.12.026	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8EFO	R	oprm_human	Gi/o	https://dx.doi.org/10.1016/J.CELL.2022.09.041	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7SCG	D	oprm_mouse	Gi/o	https://dx.doi.org/10.1002/ANIE.202200269	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8F7X	R	oprx_human	Gi/o	https://dx.doi.org/10.1016/J.CELL.2022.12.026	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
4X1H	A	opsd_bovin	Gi/o	https://dx.doi.org/10.1016/J.STR.2015.09.015	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
