feature	block	quantity_type	unit	generic_positions_in_name	coordinate_definition_summary	missing_value_handling	used_in_P0_92_feature_matched_set
position_644_chi1	PIF microswitch	angle/dihedral	degrees	6.44	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
position_644_chi2	PIF microswitch	angle/dihedral	degrees	6.44	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
w648_chi1	CWxP microswitch	angle/dihedral	degrees	6.48	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
w648_chi2	CWxP microswitch	angle/dihedral	degrees	6.48	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
w648_displacement	CWxP microswitch	distance/length	angstrom	6.48	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
w648_to_644_distance	CWxP microswitch	distance/length	angstrom	6.48;6.44	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
cwxp_647_650_distance	CWxP microswitch	distance/length	angstrom	6.47;6.50	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
y753_chi1	NPxxY/TM7 microswitch	angle/dihedral	degrees	7.53	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
y753_chi2	NPxxY/TM7 microswitch	angle/dihedral	degrees	7.53	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
y753_y558_distance	NPxxY/TM7 microswitch	distance/length	angstrom	7.53;5.58	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
y753_y558_min_distance	NPxxY/TM7 microswitch	distance/length	angstrom	7.53;5.58	Minimum heavy-atom distance.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
n749_y753_distance	NPxxY/TM7 microswitch	distance/length	angstrom	7.49;7.53	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
npxxy_local_spread	NPxxY/TM7 microswitch	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
y753_displacement	NPxxY/TM7 microswitch	distance/length	angstrom	7.53	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
sodium_d250_s339_distance	Sodium pocket	distance/length	angstrom	2.50;3.39	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
sodium_d250_n745_distance	Sodium pocket	distance/length	angstrom	2.50;7.45	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
sodium_d250_s746_distance	Sodium pocket	distance/length	angstrom	2.50;7.46	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
sodium_d250_n749_distance	Sodium pocket	distance/length	angstrom	2.50;7.49	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
sodium_pocket_volume	Sodium pocket	volume	angstrom^3		Geometric cavity/pocket volume.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
sodium_pocket_spread	Sodium pocket	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm7_rotation	TM7 geometry	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_generic_ca_count	ICL2	count	count		Count of resolved residues/secondary-structure elements.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_end_to_end_distance	ICL2	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_centroid_to_r350	ICL2	distance/length	angstrom	3.50	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_centroid_to_tm5_561	ICL2	distance/length	angstrom	5.61	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_centroid_to_tm6_634	ICL2	distance/length	angstrom	6.34	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_centroid_to_tm7_753	ICL2	distance/length	angstrom	7.53	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_axis_tm3_angle	ICL2	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_axis_tm5_angle	ICL2	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_active_reference_displacement	ICL2	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm5_cytoplasmic_extension	TM5 intracellular geometry	numeric geometry	see implementation		Numeric receptor-coordinate descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm5_cytoplasmic_kink	TM5 intracellular geometry	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm5_r350_561_distance	TM5 intracellular geometry	distance/length	angstrom	3.50;5.61	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm5_r350_564_distance	TM5 intracellular geometry	distance/length	angstrom	3.50;5.64	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm5_tm6_cavity_distance	TM5 intracellular geometry	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm5_axis_tm3_angle	TM5 intracellular geometry	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm6_lower_upper_kink	TM6 opening/geometry	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm6_axis_tm3_angle	TM6 opening/geometry	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm6_tm7_cavity_distance	TM6 opening/geometry	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm7_h8_angle	TM7 geometry	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
h8_end_to_end_distance	Helix 8	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
h8_r350_distance	Helix 8	distance/length	angstrom	3.50	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
h8_tm6_distance	Helix 8	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_helix_fraction	ICL2	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_longest_helix	ICL2	count	count		Count of resolved residues/secondary-structure elements.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_mean_phi	ICL2	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
icl2_mean_psi	ICL2	angle/dihedral	degrees		Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_volume	Intracellular cavity	volume	angstrom^3		Geometric cavity/pocket volume.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_mouth_area	Intracellular cavity	area	angstrom^2		Geometric area/cross-section descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_depth	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_maximum_width	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_average_cross_section	Intracellular cavity	area	angstrom^2		Geometric area/cross-section descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_bottleneck_area	Intracellular cavity	area	angstrom^2		Geometric area/cross-section descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_bottleneck_radius	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_max_inscribed_radius	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_surface_area	Intracellular cavity	area	angstrom^2		Geometric area/cross-section descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_centroid_x	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_centroid_y	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_centroid_z	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_principal_length_1	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_principal_length_2	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_principal_length_3	Intracellular cavity	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_principal_axis_1_z_alignment	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_eccentricity	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_sphericity	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_asymmetry	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_tm3_side_fraction	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_tm6_side_fraction	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_tm5_side_fraction	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_tm7_side_fraction	Intracellular cavity	dimensionless	dimensionless		Dimensionless geometric descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_wall_fraction_h8	Intracellular cavity	numeric geometry	see implementation		Numeric receptor-coordinate descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_wall_fraction_icl2	Intracellular cavity	numeric geometry	see implementation		Numeric receptor-coordinate descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_wall_fraction_tm3	Intracellular cavity	numeric geometry	see implementation		Numeric receptor-coordinate descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
intracellular_cavity_core_wall_fraction_tm7	Intracellular cavity	numeric geometry	see implementation		Numeric receptor-coordinate descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
